2019-10-11 07:09:50.113232,RoadBoundry,Unknown or Multiple Case
2019-10-11 07:10:15.113232,RoadHazard,Unknown
2019-10-11 07:10:47.113232,Pedestrian,Unknown
2019-10-11 07:11:06.113232,Pedestrian,Unknown
2019-10-11 07:11:20.113232,Pedestrian,Unknown
2019-10-11 07:12:41.113232,StructuralElement,Turnnel
2019-10-11 07:14:10.113232,RoadBoundry,Pole-Group(Traffic Cone Group)
2019-10-11 07:14:47.113232,RoadSurface,Puddle
2019-10-11 07:16:11.113232,RoadBoundry,Pole-Group(Traffic Cone Group)
2019-10-11 07:17:07.113232,Motorcyclist,Motorcycle
2019-10-11 07:17:48.113232,StructuralElement,Turnnel
2019-10-11 07:18:31.113232,StructuralElement,Turnnel
2019-10-11 07:18:51.113232,RoadBoundry,Unknown or Multiple Case
2019-10-11 07:19:00.113232,StructuralElement,Turnnel
2019-10-11 07:19:40.113232,RoadBoundry,Pole-Group(Traffic Cone Group)
2019-10-11 07:19:43.113232,RoadSurface,Puddle
2019-10-11 07:20:54.113232,RoadBoundry,Pole-Group(Traffic Cone Group)
2019-10-11 07:22:18.113232,RoadBoundry,Pole-Group(Traffic Cone Group)
2019-10-11 07:23:27.113232,RoadSurface,Puddle
2019-10-11 07:24:13.113232,RoadHazard,Traffic Cone
2019-10-11 07:25:02.113232,Pedestrian,Unknown
2019-10-11 07:26:22.113232,RoadSurface,Puddle
2019-10-11 07:27:40.113232,RoadSurface,Puddle
2019-10-11 07:27:59.113232,RoadSurface,Puddle
2019-10-11 07:28:21.113232,Cyclist,Bicycle
2019-10-11 07:29:59.113232,RoadSurface,Puddle
2019-10-11 07:31:09.113232,Pedestrian,Unknown
2019-10-11 07:31:39.113232,RoadHazard,Traffic Cone
2019-10-11 07:31:51.113232,Motorcyclist,Motorcycle
2019-10-11 07:33:12.113232,RoadSurface,Puddle
